 ******* Program HYDRUS
 ******* Model of Soil Moisture at SES Site                                      
 Date:  -1. 0.    Time: -88:40:**
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   92     45.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
   93     46.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
   94     46.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
   95     47.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
   96     47.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
   97     48.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
   98     48.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
   99     49.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  100     49.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  101     50.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  102     50.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  103     51.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  104     51.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  105     52.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  106     52.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  107     53.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  108     53.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  109     54.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  110     54.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  111     55.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  112     55.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  113     56.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  114     56.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  115     57.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  116     57.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  117     58.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  118     58.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  119     59.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  120     59.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  121     60.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  122     60.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  123     61.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  124     61.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  125     62.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  126     62.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  127     63.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  128     63.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  129     64.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  130     64.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  131     65.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  132     65.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  133     66.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  134     66.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  135     67.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  136     67.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  137     68.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  138     68.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  139     69.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  140     69.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  141     70.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  142     70.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  143     71.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  144     71.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  145     72.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  146     72.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  147     73.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  148     73.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  149     74.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  150     74.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  151     75.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  152     75.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  153     76.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  154     76.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  155     77.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  156     77.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  157     78.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  158     78.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  159     79.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  160     79.50     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
  161     80.00     0.034     0.700      -0.0   0.500E+02     1.000     0.000     1.000     1.000     1.000
end
